property_name,price,location,area,bathrooms,beds
beautiful And spacious villa in Mabelah for rent,OMR 800,"Al Maabilah, Muscat•",400 SQM,12,9
2 BR Beautiful Apartment with Panoramic Views – Muscat Hills,OMR 430,"Muscat Hills, Muscat•",119 SQM,2,2
"2 BR Fully Furnished Apartment in Juman Two, Al Mouj - with Amenities","OMR 1,250","The Wave (Almouj), Muscat•",109 SQM,3,2
2 BR + 1 Bedroom Brand New Apartment in Shatti Al Qurum,OMR 525,"Qurum, Muscat•",119 SQM,3,2
1 BR + 1 Bedroom Brand New Apartment in Shatti Al Qurum,OMR 400,"Qurum, Muscat•",89 SQM,2,1
54 SQM Office for Rent in Muscat Hills,OMR 297,"Muscat Hills, Muscat•",54 SQM,Not specified,Not specified
31.87 S	QM Shop in Azaiba – Commercial Use – Excellent Location,OMR 480,"Azaiba, Muscat•",31.87 SQM,Not specified,Not specified
BOSHER | BRAND NEW 3+1 BR TOWNHOUSES,OMR 850,"Bosher, Muscat•",300 SQM,4,3
QURUM | SPACIOUS 6 BR COMPOUND VILLA,"OMR 1,000","Qurum, Muscat•",300 SQM,5,6
QURUM | 6 BR COMPOUND VILLA,OMR 650,"Qurum, Muscat•",300 SQM,6,6
LUXURY OFFICE SPACES AT AFFORDABLE PRICES NOW FOR RENT!,OMR 250,"Al Khuwair, Muscat•",15 SQM,Not specified,Not specified
All Inclusive Serviced Office Spaces for Rent - Al Khuwair Bait Eteen,OMR 150,"Al Khuwair, Muscat•",10 SQM,Not specified,Not specified
BRAND NEW FULY FIRNISHED OFFICE SPACES FOR RENT - AL KHUWAIR !!,OMR 250,"Al Khuwair, Muscat•",60 SQM,Not specified,Not specified
BUDGET FRIENDLY FULLY FURNISHED SERVICED OFFICES FOR RENT - AL KHUWAIR,OMR 100,"Al Khuwair, Muscat•",10 SQM,Not specified,Not specified
one room in souq alseeb,OMR 100,"Al Seeb, Muscat•",65 SQM,1,1
Shop for rent in seeb sooq (B291),OMR 100,"Al Seeb, Muscat•",25 SQM,Not specified,Not specified
shop in Al hail south محل  الحيل الجنوبية,OMR 180,"Al Hail, Muscat•",28 SQM,Not specified,Not specified
3bhk Luxury in wadi kabir free WiFi,OMR 250,"Al Wadi Al Kabir, Muscat•",95 SQM,2,2
2bhk luxury in wadi kabir free wifi(B2525),OMR 230,"Al Wadi Al Kabir, Muscat•",100 SQM,2,2
25Sqm Shop in almarat (B7820),OMR 80,"Al Amarat, Muscat•",30 SQM,Not specified,Not specified
لإيجار ارض المسفاه  400sqm land for rent in Al-Masfa,OMR 320,"Misfah, Muscat•",400 SQM,Not specified,Not specified
200sqm office in mabail free Wifi (B1772),OMR 400,"Al Maabilah, Muscat•",200 SQM,Not specified,Not specified
30 sqm Shop in mabila (B11356),OMR 100,"Al Maabilah, Muscat•",30 SQM,Not specified,Not specified
2bhk in mbd free fiber internet,OMR 180,"Ruwi, Muscat•",95 SQM,2,2
168 sqm commercial property in alkhoud (B572),OMR 420,"Al Khoud, Muscat•",168 SQM,Not specified,Not specified
158 SQM shop in mabil 3محل ارضي المعبيله,OMR 900,"Al Maabilah, Muscat•",158 SQM,Not specified,Not specified
Beautiful 4+1 BR Villa Available for Rent in Azaiba,OMR 630,"Azaiba, Muscat•",300 SQM,6,5
High-end villa for rent in Al-Azaiba,OMR 630,"Azaiba, Muscat•",350 SQM,5,4
AZAIBA | BEAUTIFUL 4+1 BR VILLA,OMR 630,"Azaiba, Muscat•",300 SQM,5,4
"ADV901**A beautiful, Maintained Villa 4BHK+Maid for rent in Qurum in a",OMR 700,"Qurum, Muscat•",365 SQM,5,4
ADW02***Well-Maintained 2BHK Fully Furnited Flat in The Wave – Sea Vie,OMR 700,"The Wave (Almouj), Muscat•",110 SQM,3,2
ADV936** 4bhk + Maid's villa for rent in Qurum,"OMR 1,200","Qurum, Muscat•",420 SQM,5,4
ADV937** 5bhk + Maid's villa for rent in Qurum,"OMR 1,600","Qurum, Muscat•",450 SQM,6,5
ADV904**3BHK+Maid Brand new villa in Madinat Illam,"OMR 1,050","Qurum, Muscat•",350 SQM,4,3
Furnished Office for Rent Seeb مكتب للإيجار مؤثث في سكوير الخوض السيب,OMR 140,"Al Seeb, Muscat•",100 SQM,Not specified,Not specified
Furnished Office for Rent Avenues Mall Ghoubra مكتب للإيجار في الغبرة,OMR 150,"Bosher, Muscat•",100 SQM,Not specified,Not specified
ADW05**Beautiful & Spacious fully Furnished 2+1BHK Apartment for Rent,"OMR 1,200","The Wave (Almouj), Muscat•",165 SQM,3,2
RV05 - 4BHK GROUNDFLOOR VILLA FOR RENT IN AL KHOUD,OMR 400,"Al Khoud, Muscat•",600 SQM,4,4
Brand New 2 BHK Apartments in Bausher – Book in Advance & Save!,OMR 325Negotiable,"Bosher, Muscat•",120 SQM,2,2
Brand New Spacious 5 BHK Villa for Rent – Seeb,OMR 650,"Al Seeb, Muscat•",220 SQM,6,5
Prime Brand new Warehouse for Rent in Khazaen Economic City,"OMR 1,800","Muscat - Other, Muscat•",600 SQM,Not specified,Not specified
Prime Open Land & Yard for Rent in Jifnain – Ideal for Logistics,"OMR 3,060","Muscat - Other, Muscat•","3,400 SQM",Not specified,Not specified
Large retail space avaliable at Suqoon building in Azaiba,"OMR 2,316Negotiable","Azaiba, Muscat•",386 SQM,Not specified,Not specified
Taminat - Bausher - 2-bedroom apartment,OMR 425,"Bosher, Muscat•",140 SQM,3,2
"Prime Location for Your Business – Wafa Walk, Salalah",OMR 600Negotiable,"Salalah, Dhofar•",70 SQM,Not specified,Not specified
3bhk flat for rent in MQ,OMR 475,"Madinat As Sultan Qaboos, Muscat•",150 SQM,3,3
محل للايجار ف الخوض السادسه قريب من جميع الخدمات موقع تجاري مميز,OMR 160,"Al Khoud, Muscat•",16 SQM,Not specified,Not specified
فيلا راقية جديدة للايجار في المعبيلة  villa for rent,OMR 500,"Al Maabilah, Muscat•",408 SQM,7,6
shop for rent in seeb souq,OMR 100,"Al Seeb, Muscat•",25 SQM,Not specified,Not specified
2bhk in darsait free wifi (B1577),OMR 160,"Darsait, Muscat•",95 SQM,2,2
2bhk flat in almumtaz free wifi (B3434),OMR 220,"Ruwi, Muscat•",100 SQM,2,2
SR-HK-595 Fully furnished Townhouse for rent in Almouj .,OMR 800,"The Wave (Almouj), Muscat•",200 SQM,3,2
محلات للايجار في العامرات,OMR 280,"Al Amarat, Muscat•",48 SQM,Not specified,Not specified
MADINAT QABOOS | MODERN 3 BR APARTMENT,OMR 800,"Madinat As Sultan Qaboos, Muscat•",125 SQM,2,3
MADINAT SULTAN QABOOS | BEAUTIFUL 1 BR APARTMENT,OMR 500,"Madinat As Sultan Qaboos, Muscat•",85 SQM,2,1
مكتب للإيجارمؤثث في سكوير الخوض السيب Office for Rent Furnished,OMR 140,"Al Khoud, Muscat•",100 SQM,Not specified,Not specified
Office for Rent in Avenues Mall Ghubrah Bawshar Khuwair - مكتب للايجار,OMR 150,"Al Ghubrah, Muscat•",100 SQM,Not specified,Not specified
MADINAT AL ILAM | SPACIOUS 4+1 BEDROOM TOWNHOUSE,OMR 650,"Madinat As Sultan Qaboos, Muscat•",300 SQM,6,4
one room in darsait free wifi(B3222),OMR 85,"Darsait, Muscat•",35 SQM,1,1
MADINAT AL ILAM | MODERN OPULENT 7+2 BR VILLA FOR RENT,"OMR 2,500","Madinat As Sultan Qaboos, Muscat•",500 SQM,12,8
Excellent 4+1 BR BR Townhouses for Rent in Madinatl Al Illam,OMR 650,"Madinat As Sultan Qaboos, Muscat•",300 SQM,5,5
BOSHER AL MUNA | MODERN 3+1BR TOWNHOUSE WITH PRIVATE POOL,OMR 800,"Bosher, Muscat•",300 SQM,5,4
Beautiful 4 BR Compound Villa Available for Rent in Al Qurum,"OMR 1,800","Qurum, Muscat•",400 SQM,5,4
Apartment for Rent \ Sale  in Al Qurum,OMR 320,"Qurum, Muscat•",130 SQM,3,2
MQ | EXCELLENT 5+1 BR VILLA,OMR 850,"Madinat As Sultan Qaboos, Muscat•",300 SQM,6,5
AL MOUJ  FULLY FURNISHED 2BHK APARTMENT WITH FREE WIFI FOR RENT,OMR 849,"The Wave (Almouj), Muscat•",180 SQM,2,2
QURUM | DELUXE 2BHK APARTMENT FOR RENT,OMR 449,"Qurum, Muscat•",145 SQM,2,2
WADI KABIR | 1300 SQM WAREHOUSE WITH OFFICE,"OMR 2,499","Al Wadi Al Kabir, Muscat•","1,300 SQM",Not specified,Not specified
GHALA | 2200 SQM WAREHOUSE IN PRIME LOCATION,"OMR 3,999Negotiable","Ghala, Muscat•","2,200 SQM",Not specified,Not specified
AL MOUJ | MARINA AND SEA VIEW 2 BHK APARTMENT IN JUMAN,"OMR 1,299","The Wave (Almouj), Muscat•",135 SQM,2,2
MADINAT AL ILAM | FULLY FURNISHED 5+1BR COMPOUND VILLA,"OMR 1,400","Madinat As Sultan Qaboos, Muscat•",640 SQM,7,6
MADINAT SULTAN QABOOS | MODERN 4+1 LUXURIOUS VILLA WITH PRIVATE POOL,"OMR 1,550","Madinat As Sultan Qaboos, Muscat•",425 SQM,6,5
AL MOUJ | 2BHK FULL MARINA VIEW WITH SPACIOUS OPEN BALCONY,OMR 999,"The Wave (Almouj), Muscat•",115 SQM,2,2
MADINAT QABOOS | MODERN 4+1 LUXURIOUS VILLA WITH PRIVATE POOL,"OMR 1,550","Madinat As Sultan Qaboos, Muscat•",325 SQM,6,5
MADINAT SULTAN QABOOS | MODERN HIGH QUALITY 6+2 BEDROOM LUXURIOUS VILL,"OMR 1,999","Madinat As Sultan Qaboos, Muscat•",750 SQM,9,7
1bhk near Almouj free wifi (B173),OMR 200,"Al Mawaleh, Muscat•",85 SQM,2,1
6bhk Villa AlKhoud free WiFi ( one family only),OMR 480,"Al Khoud, Muscat•",300 SQM,6,6
ADV1003** Well maintained 4BHK+Maid villa for rent in Madinat sultan Q,OMR 750,"Madinat As Sultan Qaboos, Muscat•",425 SQM,6,4
ADV066**2BHK apartment for rent in bausher,OMR 300,"Bosher, Muscat•",90 SQM,2,2
ADV501**For Rent: Brand New 6 BHK Villa in Azaibah – Spacious & Modern,"OMR 1,000","Azaiba, Muscat•",625 SQM,8,6
5BHK+Maid villa fo rent in the wave,"OMR 1,700","The Wave (Almouj), Muscat•",400 SQM,6,5
"Warehouse for Rent – Khazaen, Muscat","OMR 2,100","Barka, Al Batinah•",700 SQM,Not specified,Not specified
EXCELLENT 2 BR APARTMENT IN AL KHUWAIR,OMR 280,"Al Khuwair, Muscat•",105 SQM,2,2
MUSCAT HILLS | FURNISHED 1 BHK APARTMENT,OMR 450,"Muscat Hills, Muscat•",85 SQM,2,1
Luxurious Furnished 4+1 BR Villa Available for Rent in Mabela,OMR 600,"Al Maabilah, Muscat•",300 SQM,6,5
Brand New Luxury Villa in MSQ!,"OMR 1,700","Madinat As Sultan Qaboos, Muscat•",250 SQM,6,5
Commercial Space for Rent – Prime Road-Front Location in Bosher!,"OMR 2,000Negotiable","Bosher, Muscat•",110 SQM,Not specified,Not specified
Beautiful 4+1 BR Villa Available for QURUM,OMR 700,"Qurum, Muscat•",330 SQM,6,5
Super 6 Bedrooms Villa For Rent Zunairah in Almouj Muscat,"OMR 5,000","The Wave (Almouj), Muscat•",900 SQM,10,6
95SQM office  in mabila3,OMR 250,"Al Maabilah, Muscat•",95 SQM,Not specified,Not specified
2bhk in ruwi (B71),OMR 120,"Ruwi, Muscat•",100 SQM,2,2
"Branded Residence, spacious apartment with Golf Course View","OMR 2,500","The Wave (Almouj), Muscat•",264 SQM,5,3
ADC803**145sqm  Offices for rent in Ghubra north,OMR 725,"Al Ghubrah, Muscat•",145 SQM,Not specified,Not specified
ADA602** 2 Bedrooms apartments for rent in Khuwair,OMR 350,"Al Khuwair, Muscat•",110 SQM,3,2
ADV407**5BHK brand new villa in a complex in al hail south,OMR 550Negotiable,"Al Hail, Muscat•",325 SQM,6,5
ADC701***Shop for Rent in New Commercial Building – 150 SQM,"OMR 1,250","Bosher, Muscat•",150 SQM,Not specified,Not specified
Studio room near Al Mouj free wifi,OMR 150,"The Wave (Almouj), Muscat•",45 SQM,1,1
VILLA FOR RENT NEAR CROWNE PLAZA 4 BEDROOMS,"OMR 3,000","Qurum, Muscat•","1,436 SQM",6,4
محلات للايجار في موقع مميز بالموالح 11 shop for rent in Al Mawaleh 11,OMR 200,"Al Mawaleh, Muscat•",29.6 SQM,Not specified,Not specified
beautiful And spacious villa in Mabelah for rent,OMR 800,"Al Maabilah, Muscat•",400 SQM,12,9
Fully Furnished 2 bedrooms Apartment in Almouj Muscat,OMR 800,"The Wave (Almouj), Muscat•",130 SQM,2,2
Fully Furnished Commercial Space for Rent – Al Khuwair,OMR 775Negotiable,"Al Khuwair, Muscat•",140 SQM,Not specified,Not specified
*ADC001**Brand New Full Building for Rent – Prime Location in Al Mawal,"OMR 8,000","Al Mawaleh, Muscat•","2,300 SQM",Not specified,Not specified
FULLY FURNISHED 1 BR APARTMENT,OMR 330,"Al Ghubrah, Muscat•",85 SQM,1,1
Shop For Rent,OMR 850Negotiable,"Al Khoud, Muscat•",94 SQM,Not specified,Not specified
للايجار شقه للعوائل في مرتفعات غلاء 2BHK FOR RENT,OMR 260,"Ghala, Muscat•",100 SQM,3,2
"Brand New Shop for Rent – Al Hail, Near the Sea",OMR 460,"Al Hail, Muscat•",23 SQM,Not specified,Not specified
"Brand New Shop for Rent – Al Hail, Near the Sea","OMR 1,000","Al Hail, Muscat•",50 SQM,Not specified,Not specified
Office Space for Rent – Prime Location in Al Khuwair,OMR 700,"Al Khuwair, Muscat•",200 SQM,Not specified,Not specified
Luxury Duplex 3+1 BHK for Rent in MQ on Ground floor,OMR 850,"Madinat As Sultan Qaboos, Muscat•",200 SQM,4,3
Brand new fully furnished  2 Bedrooms apartment for rent,OMR 375,"Ghala, Muscat•",100 SQM,3,2
WAREHOUSE FOR RENT IN RUSAYL,"OMR 1,900","Al Rusayl, Muscat•",760 SQM,Not specified,Not specified
مكتب للإيجار في مكان مميز في انصب,OMR 285,"Ansab, Muscat•",55.5 SQM,Not specified,Not specified
The Qube – Retail Shops for Rent,"OMR 1,500Negotiable","Al Ghubrah, Muscat•",140 SQM,Not specified,Not specified
limited opportunities 1 BHK for rent in Azaiba Suqoon,OMR 325,"Azaiba, Muscat•",100 SQM,2,1
Brand new 2BHK Huge Terrace Parking Next to Qatar Airways,OMR 425,"Ghala, Muscat•",105 SQM,2,2
Retail Opportunities at Ghala Heights Complex,"OMR 2,000Negotiable","Ghala, Muscat•",324.36 SQM,Not specified,Not specified
Azaiba - 4-bedroom villa,OMR 950Negotiable,"Azaiba, Muscat•",250 SQM,5,4
Unique commercial spaces at the Qube Muscat - Ghubrah,"OMR 1,500","Al Ghubrah, Muscat•",100 SQM,Not specified,Not specified
Office in Ghala Heights Complex,"OMR 1,600Negotiable","Ghala, Muscat•",200 SQM,Not specified,Not specified
"1,2,3 BHK flats for rent in Taminat Complex",OMR 400,"Bosher, Muscat•",100 SQM,3,2
Modern Offices for rent in MIC Towerمكاتب حديثة للإيجار,OMR 600,"Muscat - Other, Muscat•",120 SQM,Not specified,Not specified
Hamptons Business Center in Al Qurum offers all you need,OMR 250,"Qurum, Muscat•",10 SQM,Not specified,Not specified
1 bhk flat for rent in Lamar Bausher,OMR 415,"Bosher, Muscat•",110 SQM,3,2
FULLY FURNISHED 2 BR APARTMENT,OMR 400,"Al Ghubrah, Muscat•",105 SQM,2,2
ADV935**4BHK Villa for rent in a complex in qurum,OMR 750,"Qurum, Muscat•",300 SQM,5,4
ADV917** luxurious 3bhk+Study Villa in complex in shatti Al qurum,"OMR 1,750","Qurum, Muscat•",350 SQM,5,4
WADI KABIR | 1300 SQM WAREHOUSE WITH OFFICE,"OMR 3,510","Al Wadi Al Kabir, Muscat•","1,300 SQM",Not specified,Not specified
(B5496)  2bhk in Southe Ghubrah free wifi,OMR 220,"Al Ghubrah, Muscat•",100 SQM,2,2
2bhk flat in mbd (B2023),OMR 200,"Ruwi, Muscat•",107 SQM,2,2
The Cube Building - Amerat,OMR 350,"Al Amarat, Muscat•",450 SQM,Not specified,Not specified
Villa for rent ( Stand Alone),OMR 700,"Al Mawaleh, Muscat•",500 SQM,8,6
Beautiful 5BR Complex Villa for Rent in Bausher al Muna,OMR 650,"Bosher, Muscat•",300 SQM,6,5
ADV929** 6bhk Brand new complex located in a prime location in the Qur,"OMR 1,000","Qurum, Muscat•",450 SQM,6,5
ADV928** 5BHK+maid؛ villa in a complex located al shatti qurum,OMR 700,"Qurum, Muscat•",450 SQM,5,4
250sqm Partiotions office for rent in ghala,"OMR 1,500","Ghala, Muscat•",250 SQM,Not specified,Not specified
LUXURY OFFICE SPACES AT AFFORDABLE PRICES NOW FOR RENT!,OMR 250,"Al Khuwair, Muscat•",15 SQM,Not specified,Not specified
All Inclusive Serviced Office Spaces for Rent - Al Khuwair Bait Eteen,OMR 150,"Al Khuwair, Muscat•",10 SQM,Not specified,Not specified
BRAND NEW FULY FIRNISHED OFFICE SPACES FOR RENT - AL KHUWAIR !!,OMR 250,"Al Khuwair, Muscat•",60 SQM,Not specified,Not specified
BUDGET FRIENDLY FULLY FURNISHED SERVICED OFFICES FOR RENT - AL KHUWAIR,OMR 100,"Al Khuwair, Muscat•",10 SQM,Not specified,Not specified
one room in souq alseeb,OMR 100,"Al Seeb, Muscat•",65 SQM,1,1
Shop for rent in seeb sooq (B291),OMR 100,"Al Seeb, Muscat•",25 SQM,Not specified,Not specified
shop in Al hail south محل  الحيل الجنوبية,OMR 180,"Al Hail, Muscat•",28 SQM,Not specified,Not specified
3bhk Luxury in wadi kabir free WiFi,OMR 250,"Al Wadi Al Kabir, Muscat•",95 SQM,2,2
2bhk luxury in wadi kabir free wifi(B2525),OMR 230,"Al Wadi Al Kabir, Muscat•",100 SQM,2,2
ADA011**Duplex plus Maid for rent in Madinat Sutan qabus,OMR 700,"Madinat As Sultan Qaboos, Muscat•",300 SQM,3,2
ADV**928 Beachfront 3bhk +Study villa for rent in Shatti Qurum,"OMR 1,800","Qurum, Muscat•",350 SQM,5,3
ADV**912 Beachfront 4bhk+Study villa for rent in Shatti Qurum,"OMR 2,600","Qurum, Muscat•",648 SQM,5,4
Apartment for Rent in Bawshar - شقة للايجار في بوشر,OMR 400,"Bosher, Muscat•",60 SQM,2,2
AL GHUBRAH NORTH | EXCELLENT 2+1 BR FLAT,OMR 425,"Al Ghubrah, Muscat•",105 SQM,2,2
ADV1201** Stunning 5+1 Bedroom (UN FURNISHED) Villa in The Wave – Just,"OMR 1,800","The Wave (Almouj), Muscat•",400 SQM,6,5
ADV927**Brand new 3BHK+Maid villa for rent in qurum heights,"OMR 1,200","Qurum, Muscat•",350 SQM,3,3
"Murooj Al Zain – Salalah’s Hidden Gem, 3 Bedroom Apartment",OMR 80,"Salalah, Dhofar•",100 SQM,3,3
25sqm Shops in AlMisfah for rent first line(B225),OMR 80,"Misfah, Muscat•",25 SQM,Not specified,Not specified
BARR AL JISSAH | LUX FURNISHED 4+1 BR VILLA - RESORT LIVING,"OMR 1,599","Barr Al Jissah, Muscat•",265 SQM,5,5
Pearl Muscat - Muscat Hiils,OMR 425Negotiable,"Muscat Hills, Muscat•",75 SQM,2,1
Park View - Al Qurum,OMR 425,"Qurum, Muscat•",120 SQM,2,2
AMAZING FURNISHED 1 BHK APARTMENT FOR COUPLES,OMR 330,"Al Ghubrah, Muscat•",85 SQM,1,1
QURUM | 2 BEDROOM APARTMENT,OMR 220,"Qurum, Muscat•",105 SQM,2,2
For Rent – Spacious Luxury Villa in Qurum,OMR 600,"Qurum, Muscat•",300 SQM,6,5
شقه للايجار للعوائل في غلا شارع الجامع الاكبر,OMR 300,"Ghala, Muscat•",120 SQM,3,2
شقة للايجار فى بوشر قريبة من مطعم الضيعة اللبنانى 2BHK FORT RENT,OMR 220,"Bosher, Muscat•",100 SQM,2,2
Villa for Rent in Bawshar - فيلا للايجار في بوشر,OMR 550,"Bosher, Muscat•",80 SQM,6,5
Villa for Rent in Mabela - شقة للايجار في المعبيله,OMR 550,"Al Maabilah, Muscat•",70 SQM,5,5
Apartment for Rent in Mattrah - شقة للايجار في مطرح,OMR 250,"Mutrah, Muscat•",50 SQM,2,2
SEA VIEW OFFICE SPACE FOR RENT - AZAIBA !,OMR 750Negotiable,"Azaiba, Muscat•",89 SQM,Not specified,Not specified
BRAND NEW HYBRID OFFICE SPACES FOR RENT - QURUM!,OMR 250,"Qurum, Muscat•",15 SQM,Not specified,Not specified
BEAUTIFUL 2 BR APARTMENT AVAILABLE FOR RENT IN AL MOUJ,OMR 700,"The Wave (Almouj), Muscat•",120 SQM,2,2
Commercial-use Villa in One of the Best Locations in Al Khuwair South,"OMR 1,100","Al Khuwair, Muscat•",615 SQM,6,6
Luxurious Brand-New 5+1 BR villa available for rent in Madinat Al-Il,"OMR 1,300","Madinat As Sultan Qaboos, Muscat•",500 SQM,7,6
Office for Rent in Al Khuwair,OMR 600,"Al Khuwair, Muscat•",190 SQM,Not specified,Not specified
FOR RENT Luxury Villa! Located in MADINAT AL ILLAM,OMR 700,"Madinat As Sultan Qaboos, Muscat•",300 SQM,5,5
For Rent – Luxurious & Unique Villa in Al Mouj,"OMR 1,900","The Wave (Almouj), Muscat•",600 SQM,5,5
BRAND-NEW 3 BR VILLAS AVAILABLE FOR RENT,OMR 700,"Bosher, Muscat•",299 SQM,4,3
Beautiful 4 BR Compound Villa Available for Rent in Al Qurum,"OMR 1,800","Qurum, Muscat•",500 SQM,5,4
محلات للايجار في بازار صحار على الشارع العام وقريب جسر صحار,OMR 300,"Al Khoud, Muscat•",20 SQM,Not specified,Not specified
Shops in Al Khoudh main Street next to high brand cafes and restaurant,"OMR 1,000","Al Khoud, Muscat•",120 SQM,Not specified,Not specified
Fully furnished office space for one person at Muscat Hills,OMR 209,"Muscat - Other, Muscat•",10 SQM,Not specified,Not specified
Fully furnished office space for two persons in Muscat Hills,OMR 299,"Muscat Hills, Muscat•",10 SQM,Not specified,Not specified
"Office Membership available in MUSCAT, Al Mawaleh",OMR 109,"Qurum, Muscat•",10 SQM,Not specified,Not specified
"Private office space for 1 person in MUSCAT, Hormuz Grand",OMR 225,"Muscat Hills, Muscat•",10 SQM,Not specified,Not specified
25Sqm Shop in almarat (B7820),OMR 80,"Al Amarat, Muscat•",30 SQM,Not specified,Not specified
لإيجار ارض المسفاه  400sqm land for rent in Al-Masfa,OMR 320,"Misfah, Muscat•",400 SQM,Not specified,Not specified
